km,pts
194.000,4388
11781.000,2
1708.000,1591
1651.000,1652
28.000,4907
590.000,3366
28.000,4905
6703.000,56
364.000,3917
249.000,4231
741.000,3042
1054.000,2465
250.000,4228
26.000,4913
410.000,3796
3393.000,514
2044.000,1270
698.000,3130
306.000,4072
1741.000,1556
3027.000,657
1901.000,1397
1593.000,1718
161.000,4488
977.000,2597
244.000,4245
1366,2001
1922,1378
413,3790
1048,2476
321,4031
126,4594
0.716,4998
571,3409
6,4980
1860,1437
94,4693
129,4585
958,2629
3157,602
1404,1950
886,2759
4913,186
0.22,4999
1093,2402
189,4403
4620,226
196,4384
3750,405
112,4637
3777,397
109,4645
3,4989
800,2924
561,3432
12032,2
232,4278
1310,2077
127,4591
136,4564
36,4879
489,3601
229,4287
367,3908
1,4997
3166,599
524,3518
2755,789
2968,684
1050,2473
693,3140
1056,2463
3853,378
8,4972
31,4894
108,4649
12353,1
245,4242
4284,283
66,4783
7110,43
112,4638
282,4137
103,4666
650,3233
1492,1839
