shooting,blocking,passing,tech,speed,agression,jump,exp,teamplay,power,rating
119,119,201,201,202,201,201,105,0,100,112
117,69,122,134,110,119,181,63,100,100,73
70,67,71,69,73,100,78,5,90,97,38
97,46,77,56,48,51,50,18,74,99,29
79,73,76,70,72,79,94,2,35,95,38
120,100,121,103,164,180,133,18,0,100,62
119,118,201,201,202,201,201,106,25,98,112
150,150,226,226,226,226,225,61,8,100,121
108,127,226,226,226,225,225,95,90,100,133
