Р1;Р2;0;1;2;3
ъ;йнте;0,810052;0,968958;1;0,966741
йюфдши;ъ;0,409052;1;0,84127;0,791077
меяйнкэйн;еые;1;0;0;0
ъ;онврхрэ;0,886473;0,920354;1;0,945891
рнвйю;гпемхе;1;0;0;0
нрмняхрэяъ;ъ;0;1;0;0
опхбегрх;ъ;1;0;0;0
ъ;кчй;0;0,864444;1;0,99037
йнте;ъ;0,810052;0,968958;1;0,966741
керн;оърэ;1;0;0;0
гюмърэяъ;ъ;0;1;0;0
ъ;гюбрпю;1;0,766609;0,78214;0,74547
унпньхи;ашрэ;1;0;0;0
ъ;яеаъ;0,371637;1;0,912918;0,889359
ъ;фемхрэяъ;0,741047;1;0;0
рбепдши;ъ;0;0,990805;1;0,865134
мх;ндхм;1;0;0;0
ярнпнмю;дпсцни;1;0;0;0
ашрэ;рюл;1;0,688784;0,416302;0
цкюг;гюйпшрэ;1;0;0;0
ъ;ярнхрэ;1;0;0;0
онрепърэ;ъ;1;0,614499;0,571922;0,546605
ъ;оняркюрэ;0;0;1;0,972275
онунфхи;ъ;1;0,917615;0,743037;0,86426
ъ;йсдю;1;0,721311;0;0
напюг;ъ;0,854041;0,87696;0,975271;1
ъ;нрбер;0,856248;1;0,869126;0,964497
ъ;цкъдерэ;0;1;0;0
ъ;мюсвхрэ;1;0;0;0
ашрэ;цкюг;0;0,950218;1;0,878034
нярюбкърэ;ъ;1;0;0;0
ъ;беяекши;0;1;0,972858;0,871077
яхкэмши;ъ;0,668339;1;0,889028;0,800209
ъ;гюдюрэ;1;0;0;0
ъ;бшохрэ;1;0,973333;0,896889;0,889778
йсохрэ;ъ;1;0,53691;0;0
дюкейн;ъ;0,863423;0,991208;1;0,990621
гмюрэ;ме;1;0;0;0
янбяел;ашрэ;1;0;0;0
ъ;йнямсрэяъ;1;0;0;0
ондмърэ;цкюг;1;0;0;0
ъ;опнръмсрэ;1;0,318571;0,330146;0,400101
ъ;нр;1;0,867512;0,843894;0,759217
ъ;хмнцдю;1;0;0,490732;0,562095
ашрэ;фхгмэ;0;0,861827;1;0,907884
медекъ;ъ;0,794167;0,832305;0,90129;1
бхмнбюрши;ъ;0;1;0,842466;0,794521
вепег;лхмсрэ;0;1;0;0
ъ;опедярнърэ;1;0;0;0
ъ;якедсчыхи;0;1;0,678156;0,63981
дбю;демэ;1;0;0;0
ъ;дю;0,939662;1;0,966183;0,915106
онйю;ъ;1;0;0,457717;0,499431
нярюкэмни;бяе;1;0;0;0
ъ;опеякеднбюрэ;1;0;0;0
нрйюгюрэяъ;ъ;1;0,89527;0,759459;0,720946
ъ;яксвюи;1;0,610279;0,73452;0,852691
ъ;брнпни;0,472197;0,951569;1;0,992825
йюй;ашрэ;0;0,726517;0,79361;1
якедсчыхи;дерэ;1;0;0;0
мнбши;ъ;0,381446;0,954036;1;0,96833
бяе;щрнр;1;0,479714;0,584538;0,599338
ярнпнмю;ъ;0,893679;0,702033;0,912665;1
щрнр;нвемэ;0;1;0,884343;0,791503
ъ;онопнанбюрэ;1;0,805041;0,79318;0
деяърэ;ъ;0;0,800237;1;0,824541
ъ;оюпемэ;0,514313;0,860629;0,935711;1
бюфмши;ъ;0;1;0,898601;0,851648
мюйнмеж;ъ;1;0,622378;0,556712;0,558247
щ;щ;1;0;0;0
ъ;сднбнкэярбхе;0,518186;1;0,860652;0,701937
б;онякедмхи;1;0;0;0
опхгмюрэяъ;ъ;1;0,658596;0,622276;0,618241
яюлши;щрнр;1;0,650884;0,80745;0,710859
ъ;яюпю;0;0,761119;0,963415;1
йсумъ;ъ;0;0;1;0,805718
ц;гб;1;0,706964;0,668419;0,631187
яюлши;мювюрэ;1;0;0;0
ашрэ;б;0;0,731576;0,948413;1
