0;1;2;3;4;5;6
ъ;лмнцн;0.934321;1;0.945679;0.898272;0.847078
ъ;псйю;0.901582;1;0.761052;0.820789;0.787824
днпнцни;ъ;0.878548;0.99802;0.971617;1;0.977558
ъ;рнцдю;1;0.608369;0.534059;0.580221;0.564459
нярюбюрэяъ;ъ;1;0.948602;0.988662;0.900983;0.865457
ъ;кчани;0;0.971119;0.979242;1;0.974729
цпсдэ;ъ;1;0.84027;0.584927;0.718223;0.778965
лсф;ъ;0.998236;0.975309;1;0.977954;0.961199
яхкэмши;ъ;0.682111;1;0.888031;0.818104;0.827971
слеперэ;ъ;1;0;0;0;0
рюл;ашрэ;1;0.677808;0;0;0
